OBJECTID,LENGTH,LINK,Midx,Midy,Cseason,Oseason,Cstartdate,Cenddate,Ostartdate,Oenddate,DFWOpen,BEACHID,BEACHCOMMENT,CLASSIFICATIONDATE,CLASSIFICATION,REASONDESCRIPTION,ORGANIZATION,BIDN,BEACHNAME,WATERBODYNAME,COUNTYNAME,GROWINGAREANAME,ALLSPECIEDESCRIPTIONS,FINALSTATUS,UPDATED,SHAPE_Length
244,1626.808,https://www.kitsapgov.com/parks/Pages/SilverdaleWaterfrontPark.aspx ,-122.69545749,47.64328114,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,432,None,2001/10/18 00:00:00+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,None,260545,SILVERDALE WATERFRONT PARK,Dyes Inlet,Kitsap,Dyes Inlet,None,Closed,2023/04/12 03:01:35+00,651.358785384998
245,2479.03,,-122.67908202,47.63380849,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,431,None,2001/10/18 00:00:00+00,Conditionally Open,This beach is in an area that is approved for shellfish harvesting as long as the nearby municipal sewage treatment plant is functioning properly.,None,260540,SILVERDALE SHOAL-CLAM ISLAND,Dyes Inlet,Kitsap,Dyes Inlet,None,Conditionally Open,2023/04/12 03:01:35+00,1540.22202762388
246,2403.703,,-122.9677507,47.61879705,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,172,None,2010/10/06 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270280,S MCDANIEL COVE,Hood Canal #3,Jefferson,Hood Canal #4,None,Open,2023/04/12 03:01:35+00,1006.92381854621
247,670.315,http://parks.state.wa.us/296/Triton-Cove,-122.9848825,47.6084279,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,174,None,2010/10/06 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270297,TRITON COVE SP,Hood Canal #3,Jefferson,Hood Canal #4,None,Open,2023/04/12 03:01:35+00,252.199516513835
248,1878.415,http://parks.state.wa.us/520/Illahee,-122.59337119,47.59729311,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open April 1 through July 31 only.",,2023/04/01 00:00:00+00,2023/07/31 00:00:00+00,2023/04/01 00:00:00+00,2023/07/31 00:00:00+00,1,1282,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,260380,ILLAHEE SP,West Bainbridge,Kitsap,Port Orchard Passage,None,Open,2023/04/12 03:01:35+00,769.547461810101
249,1698.085,http://www.bremertonwa.gov/Facilities/Facility/Details/Pat-Carey-Vista-45,-122.64821515,47.58769523,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1341,None,1999/02/04 00:00:00+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,Department of Natural Resources,260512,PAT CAREY VISTA PARK,Dyes Inlet,Kitsap,None,None,Closed,2023/04/12 03:01:35+00,401.581562012476
250,1335.62,http://www.bremertonwa.gov/Facilities/Facility/Details/Lions-Park-10,-122.64219858,47.58387291,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,414,None,1999/02/04 00:00:00+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,City of Bremerton,260510,LIONS PARK,Dyes Inlet,Kitsap,None,None,Closed,2023/04/12 03:01:35+00,1211.2352966323
251,1731.387,http://www.bremertonwa.gov/Facilities/Facility/Details/Lower-Roto-Vista-Park-44,-122.63168874,47.58129922,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,405,None,2014/06/24 08:48:59+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,City of Bremerton,260500,LOWER ROTO VISTA PARK,Dyes Inlet,Kitsap,None,None,Closed,2023/04/12 03:01:35+00,765.464141593992
252,3720.19,http://parks.state.wa.us/542/Manchester,-122.54688168,47.57827238,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,334,None,2019/04/29 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,260600,MANCHESTER SP,Rich Passage,Kitsap,Yukon Harbor,None,Unclassified,2023/04/12 03:01:35+00,1607.54369050052
253,25210.615,https://www.nps.gov/olym/planyourvisit/kalaloch-area-brochure.htm,-124.37259509,47.60103366,<a href='https://wdfw.wa.gov/fishing/shellfishing-regulations/razor-clams'>Check razor clam seasons:</a>,,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1368,"The central portion of this beach, from the south end of Kalaloch Campground south 1.25 miles to the Beach 2 pullout, is closed September through December. Bacteria levels in this area exceed public health standards for shellfish harvesting during these months.",2019/10/22 00:00:00+00,Conditionally Open,Water quality for this beach does not meet public health standards for recreational shellfish harvesting for portions of the year.,None,590100,KALALOCH,Jefferson Coast,Jefferson,Kalaloch,All Species,Closed,2023/04/12 03:01:35+00,11450.0068943699
254,9007.716,,-122.52966449,47.58518885,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,383,None,2012/04/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Bainbridge Island Metropolitan Parks and Rec. District,260370,FORT WARD PARK,Rich Passage,Kitsap,Bainbridge South,None,Open,2023/04/12 03:01:35+00,2004.84935847481
255,2798.458,https://www.seattle.gov/parks/find/parks/charles-richey-sr-viewpoint,-122.41743535,47.57400589,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,294,None,1999/02/04 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,None,260320,ALKI POINT,South King County,King,None,None,Closed,2023/04/12 03:01:35+00,1130.59897524109
256,2465.871,,-122.9689944,47.57619978,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,346,None,2004/02/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270320,DNR 40,Hood Canal #4,Kitsap,Hood Canal #4,None,Open,2023/04/12 03:01:35+00,970.46710953744
257,1058.117,https://www.seattle.gov/parks/find/parks/alki-beach-park,-122.41110434,47.57041618,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,296,This beach is adjacent to a large sewage treatment plant outfall.,1999/02/04 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,None,260327,ALKI BEACH PARK,South King County,King,None,None,Closed,2023/04/12 03:01:35+00,4342.67610385712
258,1084.042,,-122.61447708,47.54731909,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,320,None,2001/10/18 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,260570,RETSIL,Sinclair Inlet,Kitsap,None,None,Closed,2023/04/12 03:01:35+00,482.646836747469
259,5482.928,https://www.seattle.gov/parks/find/parks/lincoln-park,-122.39917595,47.53216096,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,292,None,2001/10/18 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,None,260310,LINCOLN PARK,South King County,King,None,None,Closed,2023/04/12 03:01:35+00,2483.6347970541
260,9545.554,,-123.03238248,47.49733463,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1224,None,1998/05/07 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270370,DNR-48,Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,4041.74406236706
261,1466.351,,-123.07953498,47.4833663,"<b>Clams & Mussels</b>&nbsp;&nbsp;Open July 1 through August 31, 2023 only.","<b>Oysters:</b>&nbsp;&nbsp;Open year-round.",2023/07/01 00:00:00+00,2023/08/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,522,None,2010/10/06 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,270300,EAGLE CREEK,Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,636.060563617741
262,1052.081,,-123.04207867,47.4832048,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1222,None,2010/10/05 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270350,DNR-47,Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,418.253220133283
263,6741.967,https://www.burienwa.gov/residents/parks_recreation_cultural_services/city_parks_trails_facilities,-122.36271756,47.47889659,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,265,None,1999/02/04 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,None,260760,SEAHURST CP,South King County,King,Three Tree Point,None,Closed,2023/04/12 03:01:35+00,1961.33158363969
264,610.253,,-122.50528399,47.46234419,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,284,None,2014/06/24 08:48:59+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,260830,DNR 77,Colvos Passage,King,Colvos Passage,None,Open,2023/04/12 03:01:35+00,341.488083674157
265,4153.977,,-123.10113373,47.46367793,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1219,None,1999/02/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270310,LILLIWAUP SP,Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,2376.94170034501
266,596.816,,-123.11168418,47.45960539,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1220,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270312,SOUTH LILLIWAUP,Hood Canal #5,Mason,Hood Canal #5,None,Open,2023/04/12 03:01:35+00,387.802742286708
267,225.494,,-122.33036531,47.40333561,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,264,None,1999/02/04 00:00:00+00,Closed,This beach is located in a densely populated urban area.  Large sewage treatment outfalls and urban stormwater runoff are sources of contamination concern.,None,260757,DES MOINES CITY PK,South King County,King,Three Tree Point,None,Closed,2023/04/12 03:01:35+00,346.762377497589
268,2208.131,,-122.43323719,47.4046264,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1180,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,260630,TRAMP HARBOR,East Passage,King,East Passage,None,Open,2023/04/12 03:01:35+00,904.730835065446
269,4286.653,,-122.8132329,47.39480097,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;<b>Open Mar 1 through Apr 30 and Sept 1 through Oct 15, 2023, daylight hours only.</b> All state-owned tidelands north of the power lines and extending 1900 feet south of the power lines along the eastern shore.",,2023/03/01 00:00:00+00,2023/04/30 00:00:00+00,2023/03/01 00:00:00+00,2023/04/30 00:00:00+00,1,1254,None,1998/05/06 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,280710,NORTH BAY,Case Inlet,Mason,North Bay,None,Open,2023/04/12 03:01:35+00,2636.90065933051
270,736.439,,-123.11374385,47.38694103,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1233,None,2010/10/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,270480,RENDSLAND CREEK,Hood Canal #6,Mason,Hood Canal #6,None,Open,2023/04/12 03:01:35+00,611.395509783755
271,1723.234,,-122.67059941,47.36945248,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,614,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,280610,DNR-35A,Carr Inlet,Pierce,Henderson Bay,None,Unclassified,2023/04/12 03:01:35+00,769.177899273809
272,1292.312,,-122.48965999,47.3543654,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1303,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,260720,DNR-79,Quartermaster Harbor,King,Quartermaster Harbor,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,645.595771921926
273,6061.456,http://parks.state.wa.us/569/Potlatch,-123.15620413,47.35108947,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open April 1 through May 31, 2023 only.",,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,1,1228,None,1999/01/29 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,270440,POTLATCH SP,Hood Canal #6,Mason,Annas Bay,None,Open,2023/04/12 03:01:35+00,4228.36800399356
274,1716.395,,-122.79502119,47.3462511,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1304,None,1998/04/20 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280740,WINDY BLUFF,Case Inlet,Pierce,Rocky Bay,None,Open,2023/04/12 03:01:35+00,783.967325920339
275,1661.979,,-122.78839072,47.34023495,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1252,Harvest from the outside of spit only.,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280720,DNR-18,Case Inlet,Pierce,Vaughn Bay,None,Open,2023/04/12 03:01:35+00,921.546672813163
276,1790.32,http://parks.state.wa.us/494/Cutts-Island,-122.68762245,47.32132302,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,611,None,2017/02/01 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280580,CUTTS ISLAND SP,Carr Inlet,Pierce,None,None,Unclassified,2023/04/12 03:01:35+00,812.94892924115
277,1791.092,,-122.82678052,47.31747186,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,510,None,2010/05/13 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280790,DNR-20,Case Inlet,Mason,None,None,Open,2023/04/12 03:01:35+00,839.956418239221
278,1953.076,,-122.84345423,47.31337595,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1342,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280770,GRAPEVIEW,Case Inlet,Mason,Pickering Passage,None,Open,2023/04/12 03:01:35+00,840.567562736936
279,2766.266,http://parks.state.wa.us/530/Kopachuck,-122.6889941,47.30740555,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open April 1 through May 31 only.",,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,2023/04/01 00:00:00+00,2023/05/31 00:00:00+00,1,610,None,2008/12/29 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280570,KOPACHUCK SP,Carr Inlet,Pierce,Henderson Bay,None,Open,2023/04/12 03:01:35+00,1589.24129949637
280,21442.686,http://www.metroparkstacoma.org/point-d-owen-beach/,-122.52585407,47.31158802,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,647,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,METRO PARKS TACOMA,260730,POINT DEFIANCE-OWEN BEACH,Narrows,Pierce,None,None,Unclassified,2023/04/12 03:01:35+00,9669.09193825796
281,1402.272,https://www.keypenparks.com/maple-hollow-park.html ,-122.74612725,47.29912437,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,617,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,280630,MAPLE HOLLOW,Carr Inlet,Pierce,Henderson Bay,None,Unclassified,2023/04/12 03:01:35+00,633.397169412773
282,2010.537,,-122.78915419,47.29753821,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,639,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,280756,HALEY PROPERTY,Case Inlet,Pierce,West Key Peninsula,None,Open,2023/04/12 03:01:35+00,835.928073928807
283,3138.276,,-122.55055352,47.29068343,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,650,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,260770,DNR-36 (POINT EVANS),Narrows,Pierce,None,None,Unclassified,2023/04/12 03:01:35+00,1354.28909343093
284,2907.624,,-122.85730662,47.29033868,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1188,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280800,S DOUGALL PT,Case Inlet,Mason,Harstine East,None,Open,2023/04/12 03:01:35+00,1296.20895887198
285,954.944,,-122.57274777,47.2600824,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,570,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,280300,DNR-1A,Narrows,Pierce,Tacoma Narrows,None,Unclassified,2023/04/12 03:01:35+00,400.8696055081
286,6396.487,http://parks.state.wa.us/564/Penrose-Point,-122.74457306,47.25924339,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;CLOSED to harvest in 2023 due to construction in the day use area. Projected to re-open to harvest March 1, 2024.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1272,"The innermost portion of Mayo Cove, including the park's boat dock, is closed to recreational shellfish harvesting. Harvesting of shellfish within a Marina Closure Area may be hazardous to your health and is not advised. The rest of the park is Approved.",1998/03/04 00:00:00+00,Open,This beach is divided by APPROVED and PROHIBITED commercial shellfish areas.  The beach's recreational shellfish harvest classification is OPEN within the APPROVED area and CLOSED within the PROHIBITED area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,280680,PENROSE POINT SP,Carr Inlet,Pierce,Penrose Point,None,Open,2023/04/12 03:01:35+00,4247.86753466738
287,4569.701,https://www.metroparkstacoma.org/place/titlow-park-lodge/,-122.55270381,47.25215191,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1463,The south end of this beach is in the closure zone for the Chambers Creek Wastewater Treatment Plant outfall.,2018/10/16 00:00:00+00,Unclassified,A portion of this beach lies within a closure zone for a sewage treatment plant outfall.  The area inside the closure zone is classified CLOSED.  The area outside the closure zone is UNCLASSIFIED due to lack of data for the remainder of the beach.,None,280012,TITLOW PARK,Narrows,Pierce,Ketron Island,None,Unclassified,2023/04/12 03:01:35+00,1075.27584838039
288,6124.807,,-122.8678498,47.2580871,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,513,None,2004/02/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280820,DNR-24,Case Inlet,Mason,Harstine East,None,Open,2023/04/12 03:01:35+00,2795.27723979015
289,1452.236,,-122.91927188,47.25212311,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,515,None,2001/10/23 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280840,DNR-33,Pickering Passage,Mason,Pickering Passage,None,Open,2023/04/12 03:01:35+00,649.911100468673
290,2646.368,,-122.87096134,47.2463499,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1244,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,280825,BALLOW,Case Inlet,Mason,Harstine East,None,Open,2023/04/12 03:01:35+00,1239.49875566631
291,3025.105,,-122.70748707,47.23995184,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1347,None,2004/02/25 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280360,DNR-39 (WYCKOFF SHOAL),Pitt Passage,Pierce,None,None,Open,2023/04/12 03:01:35+00,1357.05228791782
292,689.955,,-122.72322663,47.2267261,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1175,None,1998/06/02 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,280390,N PITT PASS,Pitt Passage,Pierce,Wyckoff Shoal,None,Open,2023/04/12 03:01:35+00,459.791259030585
